2	1272.59
604	1161.28
1206	1099.71
1808	1075.48
2410	1051.98
3012	1027.32
3614	1001.85
4216	978.124
4818	954.373
5420	928.975
6022	896.462
6624	852.993
7226	829.33
7828	816.789
8430	786.08
9032	732.996
9634	707.422
10236	684.018
10838	670.343
11440	657.597
12042	645.954
12644	636.439
13246	606.146
13848	594.443
14450	576.845
15052	557.287
15654	548.232
16256	530.559
16858	525.631
17460	505.814
18062	483.087
18664	466.638
19266	449.684
19868	434.891
20470	421.213
21072	411.441
21674	400.209
22276	390.722
22878	379.896
23480	373.188
24082	365.962
24684	358.074
25286	347.007
25888	343.364
26490	335.658
27092	322.715
27694	322.272
28296	321.51
28898	314.476
29500	308.587
30102	303.001
30704	302.165
31306	301.949
31908	297.241
32510	289.727
33112	289.727
33714	285.11
34316	280.288
34918	270.67
35520	267.294
36122	255.659
36724	249.332
37326	241.131
37928	236.047
38530	234.721
39132	233.562
39734	227.707
40336	221.033
40938	211.702
41540	203.391
42142	198.958
42744	197.859
43346	195.598
43948	195.326
44550	195.326
45152	193.741
45754	190.689
46356	190.608
46958	190.497
47560	187.338
48162	187.338
48764	187.338
49366	187.338
49968	187.338
50570	187.338
51172	185.101
51774	183.183
52376	183.183
52978	183.183
53580	183.183
54182	183.028
54784	183.028
55386	182.443
55988	179.492
56590	178.201
57192	177.587
57794	173.052
58396	171.65
58998	171.59
59600	170.438
60202	170.438
60804	168.62
61406	168.088
62008	165.602
62610	164.746
63212	158.912
63814	158.409
64416	158.409
65018	155.057
65620	154.648
66222	154.648
66824	154.648
67426	154.648
68028	154.648
68630	154.648
69232	154.648
69834	154.648
70436	152.999
71038	150.967
71640	150.967
72242	149.948
72844	148.255
73446	147.585
74048	146.162
74650	145.088
75252	144.683
75854	143.704
76456	143.704
77058	143.704
77660	142.844
78262	141.709
78864	141.544
79466	141.544
80068	141.445
80670	139.029
81272	139.006
81874	137.177
82476	136.716
83078	136.716
83680	136.716
84282	136.716
84884	136.716
85486	136.716
86088	136.716
86690	136.716
87292	136.716
87894	136.716
88496	136.716
89098	136.716
89700	136.716
90302	136.716
90904	134.874
91506	134.874
92108	134.874
92710	134.874
93312	134.874
